#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
646.622545,1000,449.884265
828.231255,1000,451.178764
641.119174,1000,452.398893
836.45576,1000,453.561207
1861.436338,1000,454.782047
1174.276223,1000,455.93204
1423.918857,1000,457.168714
1143.870968,1000,458.32282
697.706224,1000,459.501448
2692.785501,1000,460.793983
1273.287248,1000,461.879043
780.514521,1000,463.08435
1563.217559,1000,464.355994
758.078152,1000,465.52665
1664.205456,1000,466.854986
756.997751,1000,468.067267
2762.32382,1000,469.22827
2751.88864,1000,470.439058
3354.471104,1000,471.680491
1518.549394,1000,472.916154
693.629331,1000,474.070216
960.169605,1000,475.248266
901.230545,1000,476.564101
1080.98519,1000,477.717444
1408.827928,1000,479.023044
981.664942,1000,480.219831
976.683922,1000,481.408087
312.863873,1000,482.585852
960.595622,1000,483.979468
1022.989654,1000,485.146351
1190.423376,1000,486.318389
977.509199,1000,487.610748
1450.853358,1000,488.820848
1993.060177,1000,490.208239
925.463581,1000,491.437246
2028.274488,1000,492.632269
758.411643,1000,493.708754
932.821657,1000,494.826449
947.979591,1000,496.062237
1013.232672,1000,497.285472
647.285428,1000,498.376784
1298.919548,1000,499.475919
1328.642773,1000,500.649407
1705.634241,1000,501.825982
716.062357,1000,503.096867
791.773888,1000,504.391873
817.249498,1000,505.571045
1885.944516,1000,506.727486
919.097513,1000,507.894724
1343.180682,1000,509.078074
1788.346051,1000,510.214431
2858.345599,1000,511.333573
1328.07158,1000,512.59504
707.256502,1000,513.870171
1838.986074,1000,515.067319
1707.828983,1000,516.217046
3211.878277,1000,517.359342
1095.2455,1000,518.510915
2626.329055,1000,519.650884
808.322025,1000,520.747917
2489.835169,1000,521.901098
1333.62266,1000,523.2628
1671.40116,1000,524.430807
1348.211428,1000,525.570642
1119.643234,1000,526.774264
2592.856304,1000,528.04674
892.171153,1000,529.284129
2244.964681,1000,530.538061
846.190231,1000,531.733886
1344.33583,1000,532.935757
2887.848943,1000,534.251186
1555.987838,1000,535.404935
3066.430075,1000,536.671933
3189.059953,1000,537.780388
1917.252641,1000,538.991965
2931.4908,1000,540.161366
1463.64598,1000,541.514139
2853.306533,1000,542.686443
3194.258398,1000,543.880907
1446.394633,1000,545.174541
2322.011231,1000,546.361388
881.55894,1000,547.729307
2749.947213,1000,548.938824
1121.980039,1000,550.025611
1250.1128,1000,551.19419
2990.452648,1000,552.380863
3123.455631,1000,553.665638
2952.286471,1000,555.091475
3042.818262,1000,556.512667
2904.341508,1000,557.72731
783.133129,1000,558.911609
1457.767017,1000,560.086551
2979.524342,1000,561.286886
3108.721259,1000,562.527488
2935.102878,1000,563.88352
2034.752724,1000,565.097852
2136.24956,1000,566.241613
2903.622505,1000,567.565767
2951.245109,1000,568.876182
3213.044654,1000,570.084112
3043.487143,1000,571.253232
1585.382284,1000,572.377275
3480.81286,1000,573.526002
3105.945308,1000,574.727367
3511.103086,1000,575.920838
3204.380847,1000,577.069941
1494.282478,1000,578.241579
3137.775101,1000,579.398777
2119.857495,1000,580.587873
3477.742732,1000,581.901021
3004.670921,1000,583.079244
3211.744596,1000,584.325477
1151.063729,1000,585.664553
853.214364,1000,587.004275
1755.137474,1000,588.160154
1314.338897,1000,589.306702
1007.910628,1000,590.513173
1888.770504,1000,591.638179
1962.223969,1000,592.679164
2835.043829,1000,593.843245
3665.844474,1000,595.116109
3203.451017,1000,596.206534
2762.818475,1000,597.458668
3336.037613,1000,598.594419
3507.991724,1000,599.803695
1391.616403,1000,601.139603
3389.962575,1000,602.268114
3430.169506,1000,603.467804
1909.066066,1000,604.773904
3579.710311,1000,605.938033
3304.725555,1000,607.115687
2628.377595,1000,608.282882
3485.90654,1000,609.415305
3464.873749,1000,610.663131
3521.601644,1000,611.898011
3430.522565,1000,613.193161
1676.553182,1000,614.331147
984.201676,1000,615.633242
1981.738849,1000,616.835266
2146.81784,1000,617.98706
3149.467039,1000,619.20682
3456.735191,1000,620.501078
1474.032752,1000,621.671982
1762.573517,1000,622.830453
2835.999963,1000,624.009529
1484.404404,1000,625.434075
3307.857897,1000,626.632026
3651.013536,1000,627.924559
3181.563374,1000,629.159815
3269.818476,1000,630.289184
2624.570755,1000,631.569633
3565.689702,1000,632.722695
3591.72055,1000,633.954076
1341.868277,1000,635.156188
2130.97935,1000,636.243978
932.998191,1000,637.352837
3475.438693,1000,638.713071
3508.276917,1000,639.817731
1007.807484,1000,641.071578
3511.495889,1000,642.3238
3518.628418,1000,643.645041
2466.627928,1000,644.919465
3320.414222,1000,646.08159
3103.256442,1000,647.227734
3587.794481,1000,648.508184
3549.400181,1000,649.661713
3559.980788,1000,650.800914
3324.891286,1000,652.179734
1415.07655,1000,653.42064
3533.935624,1000,654.531025
3509.578204,1000,655.787806
2509.827868,1000,656.952976
3323.623914,1000,658.165417
3292.202031,1000,659.36685
3439.525629,1000,660.643332
3694.501714,1000,661.934177
3480.158627,1000,663.19275
1212.678894,1000,664.349571
2117.206063,1000,665.540993
3622.823872,1000,666.717887
736.17259,1000,667.92909
3294.455496,1000,669.146806
3641.690595,1000,670.507253
1465.62229,1000,671.723634
3408.780585,1000,672.9308
1764.954012,1000,674.206819
3599.776767,1000,675.5208
3458.900912,1000,676.671111
3363.152133,1000,677.896359
3641.047471,1000,679.129912
3779.141098,1000,680.295577
3461.916183,1000,681.442165
2847.038973,1000,682.670137
3421.077649,1000,683.875443
3497.715368,1000,685.343102
3450.346984,1000,686.517293
3411.892298,1000,687.707099
2114.582791,1000,688.839926
3531.994945,1000,689.997566
3331.912512,1000,691.209401
3197.064173,1000,692.60847
3661.799721,1000,693.930631
3344.95844,1000,695.168884
3599.306541,1000,696.338051
3599.975312,1000,697.342573
3630.621048,1000,698.485407
3564.80532,1000,699.703222
3658.437885,1000,700.833711
1181.62536,1000,701.996196
3675.135739,1000,703.416255
3551.12515,1000,704.805821
3694.006824,1000,705.946658
3670.759641,1000,707.140549
3776.360849,1000,708.544719
3583.064682,1000,709.730798
3768.402629,1000,711.11447
3702.760316,1000,712.243041
3770.577553,1000,713.544526
3638.444999,1000,714.750687
3549.435191,1000,715.958637
3582.334217,1000,717.108304
3738.671214,1000,718.273223
3623.579097,1000,719.533482
3904.219451,1000,720.70264
3846.432477,1000,722.033252
3533.89023,1000,723.242249
3862.897919,1000,724.458655
4048.318963,1000,725.649356
3831.681384,1000,726.824319
3976.544331,1000,728.362463
3831.328626,1000,729.589346
3931.464911,1000,730.794167
3619.510172,1000,731.916314
3571.237361,1000,733.213911
3877.634626,1000,734.406994
3816.179229,1000,735.573461
3855.835684,1000,736.739818
3835.401716,1000,737.918248
3777.185729,1000,739.005626
763.432943,1000,740.223947
3810.412103,1000,741.5934
3627.941133,1000,742.802514
3920.754428,1000,744.11171
3824.160007,1000,745.2669
2691.170811,1000,746.493384
3787.854998,1000,747.63925
3784.555574,1000,748.920278
1527.886001,1000,750.132814
3618.570887,1000,751.269528
3720.86167,1000,752.474183
3065.882415,1000,753.673136
3872.430685,1000,754.634375
4060.833368,1000,755.758699
1617.63592,1000,757.058685
609.140884,1000,758.250567
802.29185,1000,759.425413
3907.332143,1000,760.598458
1275.128387,1000,761.775153
4053.337323,1000,763.061624
3863.938289,1000,764.303138
2258.806806,1000,765.639405
