timesteps,episode_return
29250,-53.304234
29300,-55.765575
29350,-50.506712
29400,-57.861928
29450,-51.939584
29500,-47.019353
29550,-48.882052
29600,-49.341607
29650,-57.623326
29700,-50.952717
29750,-55.590153
29800,-51.341988
29850,-53.42083
29900,-55.91066
29950,-59.513911
30000,-56.127945
30050,-61.20057
30100,-65.083625
30150,-63.823109
30200,-57.676206
30250,-52.979115
30300,-62.359214
30350,-54.156587
30400,-59.565215
30450,-48.952741
30500,-59.747945
30550,-57.670893
30600,-49.832749
30650,-45.779615
30700,-49.068669
30750,-53.343123
30800,-55.622732
30850,-51.850228
30900,-54.431663
30950,-47.17227
31000,-57.193745
31050,-60.896807
31100,-54.64878
31150,-52.147031
31200,-57.685137
31250,-55.320585
31300,-52.401216
31350,-53.058088
31400,-58.940125
31450,-56.691212
31500,-60.745625
31550,-52.27687
31600,-53.729095
31650,-55.550909
31700,-54.637261
31750,-49.427047
31800,-56.441428
31850,-50.853045
31900,-57.858899
31950,-54.569331
32000,-56.9973
32050,-58.908288
32100,-57.838558
32150,-53.335484
32200,-56.037546
32250,-47.451109
32300,-57.220002
32350,-58.647317
32400,-50.544035
32450,-55.416669
32500,-62.521158
32550,-51.083461
32600,-51.702496
32650,-52.789783
32700,-51.1997
32750,-56.806478
32800,-58.741797
32850,-48.697911
32900,-52.36293
32950,-61.063392
33000,-57.960222
33050,-61.815108
33100,-58.181626
33150,-54.433375
33200,-58.539971
33250,-66.903672
33300,-56.515108
33350,-57.427089
33400,-54.095279
33450,-55.644651
33500,-63.575431
33550,-49.622198
33600,-54.002697
33650,-61.180889
33700,-63.040449
33750,-67.196664
33800,-60.670761
33850,-50.409546
33900,-55.460591
33950,-59.799177
34000,-61.604559
34050,-62.432967
34100,-62.659193
34150,-55.605362
34200,-62.710625
34250,-51.387274
34300,-53.366364
34350,-52.506549
34400,-63.63387
34450,-54.898421
34500,-62.776139
34550,-49.733712
34600,-52.367993
34650,-53.949901
34700,-51.402844
34750,-58.110364
34800,-53.85992
34850,-54.887761
34900,-59.918585
34950,-56.968422
35000,-55.239901
35050,-58.67573
35100,-51.527998
35150,-61.763399
35200,-52.32752
35250,-53.432187
35300,-59.705899
35350,-62.361629
35400,-52.574255
35450,-59.382236
35500,-50.827331
35550,-54.615898
35600,-63.464322
35650,-49.507569
35700,-57.500057
35750,-49.650974
35800,-60.64727
35850,-52.375329
35900,-60.236468
35950,-67.757054
36000,-50.86568
36050,-60.19078
36100,-55.701659
36150,-59.935312
36200,-57.666216
36250,-53.589248
36300,-55.729021
36350,-58.945113
36400,-55.424282
36450,-64.663166
36500,-52.869252
36550,-53.804826
36600,-60.894577
36650,-53.725612
36700,-64.510697
36750,-54.919087
36800,-62.245788
36850,-53.309494
36900,-58.764507
36950,-53.697179
37000,-59.055735
37050,-57.816362
37100,-61.578794
37150,-58.913113
37200,-56.357513
37250,-64.658131
37300,-56.845288
37350,-53.160796
37400,-52.857381
37450,-55.732042
37500,-61.67763
37550,-51.433998
37600,-64.568514
37650,-48.556862
37700,-58.418141
37750,-57.756477
37800,-59.262444
37850,-60.575155
37900,-57.230166
37950,-66.867071
38000,-63.201558
38050,-59.930121
38100,-59.744277
38150,-50.382112
38200,-60.259079
38250,-66.300749
38300,-59.434559
38350,-54.47548
38400,-54.259916
38450,-60.657732
38500,-48.752126
38550,-53.803428
38600,-52.62198
38650,-60.076772
38700,-57.561567
38750,-59.194737
38800,-61.277286
38850,-58.075329
38900,-53.390007
38950,-60.528637
39000,-52.494213
39050,-63.13754
39100,-57.878064
39150,-64.355463
39200,-60.498243
39250,-55.698303
39300,-58.283508
39350,-57.455042
39400,-66.419712
39450,-57.594843
39500,-50.713338
39550,-54.355775
39600,-54.774282
39650,-60.567893
39700,-56.020052
