timesteps,episode_return
28500,-33.084789
28550,-29.094018
28600,-29.09605
28650,-32.61792
28700,-31.91994
28750,-28.230455
28800,-30.686622
28850,-39.490411
28900,-34.729936
28950,-30.128742
29000,-30.342077
29050,-24.917877
29100,-29.698292
29150,-30.163234
29200,-32.494382
29250,-29.320606
29300,-28.128251
29350,-31.616919
29400,-25.261555
29450,-33.083641
29500,-31.072123
29550,-27.600299
29600,-32.442861
29650,-35.185251
29700,-33.041874
29750,-34.239213
29800,-31.191794
29850,-34.092509
29900,-25.796079
29950,-33.41659
30000,-26.421737
30050,-36.699217
30100,-34.079617
30150,-37.590057
30200,-32.6796
30250,-38.528408
30300,-26.945917
30350,-23.645906
30400,-27.579367
30450,-22.955156
30500,-31.182623
30550,-31.249211
30600,-28.586284
30650,-30.247726
30700,-31.419195
30750,-36.61936
30800,-32.863642
30850,-35.592545
30900,-36.364276
30950,-34.971331
31000,-29.377197
31050,-35.847222
31100,-34.101879
31150,-28.914429
31200,-35.566967
31250,-34.906994
31300,-35.212697
31350,-33.292027
31400,-30.251741
31450,-29.362501
31500,-30.238117
31550,-23.77859
31600,-25.52298
31650,-36.135815
31700,-30.435645
31750,-31.883655
31800,-36.775993
31850,-23.152547
31900,-22.021261
31950,-31.553148
32000,-31.833985
32050,-31.803816
32100,-23.241487
32150,-29.519526
32200,-27.877575
32250,-31.286856
32300,-33.2977
32350,-31.583934
32400,-30.235122
32450,-32.330651
32500,-28.338971
32550,-28.462395
32600,-28.722326
32650,-31.620832
32700,-29.473797
32750,-31.172534
32800,-35.992798
32850,-32.726017
32900,-29.909838
32950,-36.845908
33000,-27.688732
33050,-30.025393
33100,-33.990233
33150,-23.996618
33200,-30.28449
33250,-30.167837
33300,-28.69298
33350,-32.369634
33400,-31.773836
33450,-31.293542
33500,-29.54541
33550,-25.661437
33600,-24.514757
33650,-27.211231
33700,-28.86858
33750,-25.670684
33800,-25.84288
33850,-30.792044
33900,-28.022559
33950,-32.052425
34000,-30.474982
34050,-29.836902
34100,-33.946047
34150,-33.292556
34200,-30.448375
34250,-30.29137
34300,-24.771636
34350,-27.718036
34400,-33.332338
34450,-28.231897
34500,-26.58635
34550,-32.727845
34600,-33.126839
34650,-31.789891
34700,-26.872731
34750,-30.88688
34800,-27.277868
34850,-25.042105
34900,-27.391102
34950,-31.630162
35000,-26.823172
35050,-27.03958
35100,-30.13356
35150,-35.150387
35200,-27.579971
35250,-32.369786
35300,-32.815889
35350,-29.142313
35400,-22.621263
35450,-34.405055
35500,-27.096062
35550,-21.431833
35600,-31.956009
35650,-27.694245
35700,-26.903021
35750,-30.736484
35800,-29.839719
35850,-29.741627
35900,-28.452212
35950,-30.698318
36000,-28.958673
36050,-30.215267
36100,-28.406389
36150,-26.446413
36200,-36.086031
36250,-27.090755
36300,-34.66188
36350,-30.149962
36400,-25.80844
36450,-26.096372
36500,-26.122299
36550,-31.244941
36600,-26.116632
36650,-31.593745
36700,-34.206178
36750,-31.533061
36800,-34.75476
36850,-29.929681
36900,-28.046208
36950,-30.07723
37000,-27.045692
37050,-31.540329
37100,-29.848959
37150,-31.862859
37200,-29.662622
37250,-24.313685
37300,-22.681568
37350,-31.061073
37400,-24.937147
37450,-30.60535
37500,-38.073817
37550,-26.725256
37600,-28.546748
37650,-32.158316
37700,-30.597658
37750,-32.602614
37800,-29.29157
37850,-36.898296
37900,-26.619813
37950,-32.083658
38000,-27.612727
38050,-30.678909
38100,-32.929617
38150,-31.401244
38200,-26.476576
38250,-32.147704
38300,-25.364173
38350,-29.038008
38400,-29.267735
38450,-23.801729
38500,-26.157385
38550,-23.565034
38600,-28.122987
38650,-31.698569
38700,-25.893002
38750,-29.573501
38800,-31.529683
38850,-30.132775
38900,-29.460169
38950,-28.810623
39000,-30.876968
39050,-28.893593
39100,-29.653764
39150,-29.347712
39200,-27.321053
39250,-23.285463
39300,-33.555379
39350,-27.080489
39400,-32.388617
39450,-24.864365
39500,-23.260736
39550,-30.257172
39600,-34.535494
39650,-28.560907
39700,-30.989525
39750,-27.258593
39800,-33.779321
39850,-28.699825
39900,-23.073038
39950,-30.119556
40000,-29.226188
40050,-29.566936
40100,-27.26289
40150,-25.1878
40200,-30.908016
40250,-23.761273
40300,-30.287019
40350,-30.206658
40400,-26.476964
40450,-29.419008
40500,-27.21629
40550,-21.740635
40600,-24.01293
40650,-34.190963
40700,-26.149144
40750,-28.230836
40800,-25.872068
40850,-35.808997
40900,-32.595659
40950,-27.119418
41000,-30.292668
41050,-23.728197
41100,-28.133082
41150,-26.451055
41200,-29.203841
41250,-25.811247
41300,-25.54165
41350,-32.200101
41400,-25.691152
41450,-21.708043
41500,-25.479526
41550,-27.192961
41600,-28.603478
41650,-23.342545
41700,-27.04482
41750,-30.440443
41800,-26.793732
41850,-29.266186
41900,-30.804568
41950,-27.972436
42000,-30.272434
42050,-24.306027
42100,-28.077661
42150,-24.937574
42200,-26.870681
42250,-29.740362
42300,-25.813331
42350,-27.958722
42400,-32.727103
42450,-25.737471
42500,-25.687346
42550,-29.679283
42600,-26.76192
42650,-29.597386
42700,-26.097158
42750,-24.968685
42800,-29.879296
42850,-32.257473
42900,-27.986179
42950,-22.548306
43000,-24.84958
43050,-24.909041
43100,-22.518743
43150,-24.276534
43200,-29.975046
43250,-29.461705
43300,-26.46343
43350,-28.65961
43400,-28.678371
43450,-26.092128
43500,-25.488902
43550,-24.068701
43600,-27.52537
43650,-28.080386
43700,-21.305843
43750,-23.417704
43800,-33.265709
43850,-27.770432
43900,-31.275387
43950,-24.920792
44000,-29.185165
44050,-26.437432
44100,-26.493192
44150,-26.650732
44200,-30.62979
44250,-29.846519
44300,-30.64867
44350,-26.872172
44400,-23.79484
44450,-28.739277
44500,-24.064744
44550,-35.3953
44600,-27.578638
44650,-34.376593
44700,-22.927221
44750,-28.849867
44800,-28.192949
